Name;ShortName;ModeAndPID;Equation;Min Value;Max Value;Units;Header
Аксессуары;Аксессуары;2101;GetBit(A,2);0;1;;
Зарядка;Зарядка;2101;GetBit(A,5);0;1;;
Зажигание 1;Зажигание 1;2101;GetBit(A,3);0;1;;
Зажигание 2;Зажигание 2;2101;GetBit(A,4);0;1;;
Ключь в замке;Ключь в замке;2101;GetBit(A,0);0;1;;
Реле стеклоподъемников;Реле стеклоподъемников;2101;GetBit(B,1);0;1;;
Управление светом: АВТО;Управление светом: АВТО;2101;GetBit(C,2);0;1;;
Управление светом: Фары;Управление светом: Фары;2101;GetBit(C,1);0;1;;
Управление светом: Габариты;Управление светом: Габариты;2101;GetBit(C,0);0;1;;
Управление светом: Дальний;Управление светом: Дальний;2101;GetBit(C,5);0;1;;
Управление светом: Задний ПТФ;Управление светом: Задний ПТФ;2101;GetBit(D,4);0;1;;
Управление светом: Передние ПТФ;Управление светом: Передние ПТФ;2101;GetBit(D,3);0;1;;
Лампа габаритных огней;Лампа габаритных огней;2101;GetBit(F,0);0;1;;
Лампа основного освещения;Лампа основного освещения;2101;GetBit(F,3);0;1;;
Лампа основного освещения;Лампа основного освещения;2101;GetBit(F,4);0;1;;
Звуковой сигнал тревоги;Звуковой сигнал тревоги;2101;GetBit(G,6);0;1;;
Световой сигнал тревоги;Световой сигнал тревоги;2101;GetBit(H,0);0;1;;
Лампа переднего ПТФ;Лампа переднего ПТФ;2101;GetBit(H,3);0;1;;
Лампа занего ПТФ;Лампа занего ПТФ;2101;GetBit(H,4);0;1;;
Лампа освещения салона;Лампа освещения салона;2101;GetBit(I,6);0;1;;
Реле освещения салона;Реле освещения салона;2101;GetBit(I,0);0;1;;
Подсветка подстаканника;Подсветка подстаканника;2101;GetBit(I,5);0;1;;
Ремень водителя;Ремень водителя;2101;GetBit(M,0);0;1;;
Ремень пасажира;Ремень пасажира;2101;GetBit(M,1);0;1;;
Индикатор ремня водителя;Индикатор ремня водителя;2101;GetBit(N,0);0;1;;
Индкатор ремня пасажира;Индкатор ремня пасажира;2101;GetBit(N,1);0;1;;
Дверь Водителя открыта;Дверь Водителя открыта;2101;GetBit(O,0);0;1;;
Капот открыт;Капот открыт;2101;GetBit(O,4);0;1;;
Дверь Пассажира открыта;Дверь Пассажира открыта;2101;GetBit(O,1);0;1;;
Кнопка открытия багажника;Кнопка открытия багажника;2101;GetBit(O,3);0;1;;
Багажник открыт;Багажник открыт;2101;GetBit(O,7);0;1;;
Дверь задняя левая открыта;Дверь задняя левая открыта;2101;GetBit(O,5);0;1;;
Дверь задняя правая открыта;Дверь задняя правая открыта;2101;GetBit(O,6);0;1;;
Замок двери водителя заблокирован;Замок двери водителя заблокирован;2101;GetBit(P,0);0;1;;
Замок двери пассажира заблокирован;Замок двери пассажира заблокирован;2101;GetBit(P,1);0;1;;
Замки задних дверей заблокированы;Замки задних дверей заблокированы;2101;GetBit(P,4);0;1;;
Кнопка ЦЗ открыть;Кнопка ЦЗ открыть;2101;GetBit(Q,7);0;1;;
Кнопка ЦЗ закрыть;Кнопка ЦЗ закрыть;2101;GetBit(Q,6);0;1;;
Привод ЦЗ закрыть;Привод ЦЗ закрыть;2101;GetBit(S,1);0;1;;
Привод ЦЗ закрыть;Привод ЦЗ закрыть;2101;GetBit(S,0);0;1;;
Привод замка багажника открыть;Привод замка багажника открыть;2101;GetBit(S,3);0;1;;
Crash signal;Crash signal;2101;GetBit(V,1);0;1;;
Navi wakeup signal output;Navi wakeup signal output;2101;GetBit(X,1);0;1;;
Задняя передача;Задняя передача;2101;GetBit(Y,1);0;1;;
Tail AV;Tail AV;2101;GetBit(Z,1);0;1;;
Датчик освещения;Датчик освещения;2101;AE/255*5;0;5;V;
Скорость;Скорость;2101;AF;0;255;km/h;
Статус ключа;Key status;2102;A;;;;
Количество зарегистрированный ключей;Number of registerred imobilizer key;2102;B;;;;
Автоматическая блокировка дверей;Automatic Locking of doors when driving away;2103;A;0;1;;
Автоматическая разблокировка дверей;Auto unlock;2103;B;0;1;;
Сопровождающий свет;Сопровождающий свет;2103;F;0;1;;
